family,feature_set,logistic_c,minimum_local_rows,local_weight,fallback_rate,months,calls,hits,accuracy,monthly_mean,monthly_median,monthly_std,up_calls,down_calls,hits_vs_baseline
fixed_shrinkage,wide12,0.01,48,0.2,0.13319415448851774,60,900,570,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.292917013244083,900,0,-9
fixed_shrinkage,wide12,0.01,48,0.3,0.13319415448851774,60,900,567,0.63,0.6300000000000001,0.6666666666666666,0.2916089531277394,900,0,-12
fixed_shrinkage,wide12,0.01,48,0.4,0.13319415448851774,60,900,567,0.63,0.6300000000000001,0.6666666666666666,0.2918671627264124,900,0,-12
fixed_shrinkage,wide12,0.01,48,0.5,0.13319415448851774,60,900,567,0.63,0.6300000000000001,0.6666666666666666,0.28481334952525766,900,0,-12
pure_local,wide12,0.01,60,1.0,0.20542797494780793,60,900,571,0.6344444444444445,0.6344444444444445,0.7,0.2813718523090293,900,0,-8
fixed_shrinkage,wide12,0.01,60,0.1,0.20542797494780793,60,900,573,0.6366666666666667,0.6366666666666667,0.6666666666666666,0.29520333571319257,900,0,-6
fixed_shrinkage,wide12,0.01,60,0.2,0.20542797494780793,60,900,569,0.6322222222222222,0.6322222222222221,0.6666666666666666,0.2918843685780611,900,0,-10
fixed_shrinkage,wide12,0.01,60,0.3,0.20542797494780793,60,900,566,0.6288888888888889,0.6288888888888889,0.6666666666666666,0.2884771801898201,900,0,-13
fixed_shrinkage,wide12,0.01,60,0.4,0.20542797494780793,60,900,569,0.6322222222222222,0.6322222222222222,0.7333333333333333,0.2850953299227364,900,0,-10
fixed_shrinkage,wide12,0.01,60,0.5,0.20542797494780793,60,900,571,0.6344444444444445,0.6344444444444445,0.7333333333333333,0.2797609058992237,900,0,-8
pure_local,wide12,0.03,36,1.0,0.07724425887265135,60,900,563,0.6255555555555555,0.6255555555555556,0.6666666666666666,0.2728358892692103,900,0,-16
fixed_shrinkage,wide12,0.03,36,0.1,0.07724425887265135,60,900,572,0.6355555555555555,0.6355555555555555,0.6666666666666666,0.29470318731340606,900,0,-7
fixed_shrinkage,wide12,0.03,36,0.2,0.07724425887265135,60,900,568,0.6311111111111111,0.6311111111111111,0.6666666666666666,0.2964870697832375,900,0,-11
fixed_shrinkage,wide12,0.03,36,0.3,0.07724425887265135,60,900,570,0.6333333333333333,0.6333333333333333,0.7,0.29547752534657196,900,0,-9
fixed_shrinkage,wide12,0.03,36,0.4,0.07724425887265135,60,900,571,0.6344444444444445,0.6344444444444445,0.7,0.2892920553404701,900,0,-8
fixed_shrinkage,wide12,0.03,36,0.5,0.07724425887265135,60,900,570,0.6333333333333333,0.6333333333333334,0.7,0.28877297399250257,900,0,-9
pure_local,wide12,0.03,48,1.0,0.13319415448851774,60,900,564,0.6266666666666667,0.6266666666666667,0.6666666666666666,0.2747914806092841,900,0,-15
fixed_shrinkage,wide12,0.03,48,0.1,0.13319415448851774,60,900,571,0.6344444444444445,0.6344444444444444,0.6666666666666666,0.29394175901000064,900,0,-8
fixed_shrinkage,wide12,0.03,48,0.2,0.13319415448851774,60,900,567,0.63,0.63,0.6666666666666666,0.29571325246531616,900,0,-12
