model,slice,calls,accuracy,mean_probability,auc,brier,log_loss,ece,calibration_intercept,calibration_slope,spearman
adaptive,indicator_id:X25,142,0.6338028169014085,0.6396707207627442,0.47158119658119657,0.23514951052334293,0.6632943604647684,0.06284210774788744,1.1673175603831725,-1.0696899479186497,-0.047428759125704
adaptive,indicator_id:X28,124,0.6048387096774194,0.628796791229072,0.4489795918367347,0.244531419074834,0.6829293864398095,0.05981106413519548,1.1524589225694757,-1.3618149490107248,-0.08640833984416196
adaptive,indicator_id:X29,130,0.6384615384615384,0.6201638688743635,0.42399384773135096,0.23638458937794601,0.665937689132097,0.056506623061403596,1.6258537739825702,-2.123372095100913,-0.12650184003324985
adaptive,indicator_id:X3,143,0.6503496503496503,0.6598655632182567,0.47655913978494624,0.23033498032984928,0.653555381411889,0.03603195297032278,0.8659760336300293,-0.3660482939827474,-0.03872266386568678
adaptive,indicator_id:X31,85,0.5647058823529412,0.6285893865873983,0.5557432432432432,0.24768765244198487,0.6888105391920893,0.06388350423445709,-0.45052248390945665,1.3482372818939417,0.09574485995486065
adaptive,indicator_id:X32,127,0.6929133858267716,0.6442543487937658,0.40879953379953377,0.22206902405434975,0.6367735031914715,0.09113605450258053,2.1925744510120886,-2.266018509942962,-0.1457374155331063
adaptive,indicator_id:X35,63,0.5238095238095238,0.6219876482930582,0.4121212121212121,0.2684815652556348,0.7317238613481698,0.16844545817004278,0.8283307646151611,-1.4536843663162826,-0.1520570100681006
adaptive,indicator_id:X37,41,0.6341463414634146,0.6157398695515478,0.358974358974359,0.24518031370887297,0.6839605900662197,0.1444889207498638,1.7590481505529756,-2.471878847152013,-0.2353782708810021
adaptive,indicator_id:X38,145,0.6275862068965518,0.6616336600454223,0.48921448921448923,0.23944848530877705,0.6734810559920326,0.06626489137393826,0.8277278804579459,-0.4486747181282562,-0.018063056593185585
adaptive,indicator_id:X39,147,0.7006802721088435,0.6977442842107264,0.47639011473962933,0.21414931375474613,0.6205111498985955,0.04634216749782817,1.2253687780775249,-0.44030324313287383,-0.03745606625145659
adaptive,indicator_id:X40,139,0.6330935251798561,0.6825461056916393,0.48150623885918,0.23966609938165834,0.6747349288960783,0.06608271046012659,0.578422861227905,-0.04168051331830249,-0.030877258256619838
